Date,Close,SMA_20,EMA_20,MACD,MACD_Signal,MACD_Hist,RSI,ROC,BB_Width,ATR,OBV
2010-05-24,30.4646053314209,32.866827392578124,32.6906858849405,-1.2013500721908343,-1.0007491056721327,-0.20060096651870163,32.18278279838201,-3.690212744404018,18.753784331951415,0.9397346828657872,-194111000
2010-05-25,30.349170684814453,32.64459648132324,32.46768443730945,-1.2373014890728662,-1.0480595823522796,-0.1892419067205866,31.70194001167428,-3.8406727989716227,19.204253599799806,0.9481989995635478,-247552800
2010-05-26,29.900211334228516,32.3995964050293,32.22316318939698,-1.2871826728411726,-1.0958842004500582,-0.19129847239111442,29.83487572755506,-11.030514045323562,19.678398993011964,0.9386510520120027,-289678400
2010-05-27,31.599828720092773,32.21264047622681,32.1637980018442,-1.1760126102791197,-1.1119098824158706,-0.06410272786324911,43.42004000913218,-4.422866776731194,18.018854335227566,0.9943800780024434,-256171500
2010-05-28,30.990530014038086,32.01734619140625,32.05205819348171,-1.124116730290087,-1.114351251990714,-0.00976547829937302,40.400155031262265,-7.30865080154696,16.6776842661969,0.9764946284383136,-295653600
2010-06-01,30.682674407958984,31.794152641296385,31.9216406900986,-1.0952053999541036,-1.1105220815833918,0.015316681629288231,38.9269864090887,-7.01651275348624,14.5183988573867,0.96263503259542,-330407200
2010-06-02,31.503616333007812,31.68159408569336,31.88182884656614,-0.9945848548157024,-1.087334636229854,0.09274978141415158,44.716173390038385,-1.7403596558472778,13.42754187652288,0.9561789855557344,-305070900
2010-06-03,31.40742301940918,31.5966139793396,31.83664733921786,-0.9120903347257894,-1.0522857759290412,0.14019544120325178,44.18762347865141,-2.177365102893997,12.823152735383333,0.9309431981175266,-332090500
2010-06-04,30.06696891784668,31.518367958068847,31.66810653718251,-0.9439944956378064,-1.0306275198707942,0.0866330242329878,37.53035865196577,-4.287454257435843,13.531345404212008,0.9707305885421345,-368775700
2010-06-07,29.688566207885742,31.424729347229004,31.479578886773297,-0.9884188322394074,-1.0221857823445168,0.03376695010510944,35.88668532060602,-5.857209759149407,14.487186797281248,0.9481203851348086,-393159800
2010-06-08,30.163171768188477,31.252524662017823,31.35420678024141,-0.9740999192707633,-1.0125686097297661,0.03846869045900281,39.46752200645076,-0.9060775793249463,13.466987548145317,0.9243764471027859,-359248200
2010-06-09,30.054141998291016,31.102125644683838,31.23039108672232,-0.9604780754350593,-1.0021505028708249,0.0416724274357656,38.92960748882869,-3.619908422854981,12.81295755766434,0.9133233292234749,-389643700
2010-06-10,31.32403564453125,30.996621799468993,31.239309616037456,-0.8375580143202903,-0.9692320051607181,0.13167399084042775,47.84562809212868,2.8210781126514166,10.888848301119438,0.9406251374353861,-359137700
2010-06-11,31.36893081665039,30.91516923904419,31.25165449228631,-0.728126921205817,-0.9210109883697379,0.19288406716392092,48.13392547889218,3.360092249064934,9.258239857807714,0.9068799636994773,-336678600
2010-06-14,31.56775665283203,30.89047689437866,31.281759459957332,-0.6182318166349106,-0.8604551540227725,0.24222333738786195,49.466188286950754,5.5770352254821,8.848804852075132,0.8888307583968604,-307201400
2010-06-15,32.56827163696289,30.91356554031372,31.404284429195954,-0.445273125526068,-0.7774187483234316,0.3321456227973636,55.64100019025062,3.064709386397187,9.448894064890133,0.8981826652742537,-278836300
2010-06-16,32.41434860229492,30.963591861724854,31.500481017110143,-0.31696860248807823,-0.685328719156361,0.3683601166682827,54.536929050893576,4.5943666907660985,10.260684693726201,0.8679269869949764,-300622200
